Russian,Polish
Задумываться (Я задумываюсь над этим),Zastanawiać (Zastanawiam się nad tym)
Ассистент (Я работаю ассистентом),Asystent (Pracuję jako asystent)
Заведение (Я работаю в парикмахерской),Zakład (Pracuję w zakładzie fryzjerskim)
Хвалить (Хвалю твою работу),Pochwala (Chwalę twoją pracę)
Ценить (Ценю твои старания),Doceć (Doceniam twoje starania)
Прохожий (Прохожий помог мне),Przechodnia (Przechodzień pomógł mi)
Подарок (Я получил подарок от друзей),Prezenć (Dostałem prezent od przyjaciół)
Владелица (Владелица магазина приятная),Właścicielka (Właścicielka sklepu jest miła)
Работница (Работница в офисе помогла мне),Pracowniczek (Pracowniczka w biurze pomogła mi)
Экзотический (Я люблю экзотическую еду),Egzotyczny (Lubię egzotyczne jedzenie)
Официант (Официант принёс меню),Kelner (Kelner przyniósł menu)
Совершать (Я совершаю важный выбор),Dokonywać (Dokonuję ważnego wyboru)
Сосед по квартире (Мой сосед по квартире — студент),Współlokator (Mój współlokator jest studentem)
Включить (Включи свет),Włączyć (Włącz światło)
Мешать (Не мешай мне),Przeszkadzać (Nie przeszkadzaj mi)
Достигнуть (Я достиг цели),Osiągnąć (Osiągnąłem cel)
Компромисс (Давайте найдём компромисс),Kompromis (Znajdźmy kompromis)
Местный (Это местный ресторан),Lokalny (To lokalna restauracja)
Блогер (Я блогер-путешественник),Bloger (Jestem blogerem podróżniczym)
Уговорить (Я уговорил его на экскурсию),Namówić (Namówiłem go na wycieczkę)
Поликлиника (Я иду в поликлинику),Przychodnie (Idę do przychodni)
Зуб (У меня болит зуб),Zęb (Boli mnie ząb)
Недовольный (Я недоволен обслуживанием),Niezadowolony (Jestem niezadowolony z obsługi)
Объяснить (Объясни мне это),Wytłumaczyć (Wytłumacz mi to)
Украсть (У меня украли велосипед),Ukraść (Ukradli mi rower)
Сломать (Я сломал ногу),Złamać (Złamałem nogę)
Солдат (Солдат служил в армии),Żołnierz (Żołnierz służył w wojsku)
Организатор (Организатор подготовил мероприятие),Organizator (Organizator przygotował wydarzenie)
Рассматривать (Я рассматриваю твоё предложение),Rozważać (Rozważam twoją propozycję)
Няня (Мы наняли няню для ребёнка),Nianie (Zatrudniliśmy nianię dla dziecka)
Ключ (Я потерял ключи от квартиры),Kluczyć (Zgubiłem klucze do mieszkania)
Захлопнуть (Я захлопнул дверь),Zatrzaśnąć (Zatrzasnąłem drzwi)
Послесреднее образование (Послесредняя школа длится два года),Policealny (Szkoła policealna trwa dwa lata)
Приходить (Я прихожу в офис в девять),Przychodzić (Przychodzę do biura o dziewiątej)
Консультант (Я работаю консультантом),Konsultant (Pracuję jako konsultant)
Проход; переход (Переход через улицу),Przejście (Przejście przez ulicę)
Пенсия (Я на пенсии),Emerytura (Jestem na emeryturze)
Библиотека (Я иду в библиотеку),Biblioteka (Idę do biblioteki)
Расспросить (Расспроси о деталях),Dopytać (Dopytaj o szczegóły)
"Несмотря на (Несмотря на дождь, я иду гулять)",Mimo (Mimo deszczu idę na spacer)
Анонс (Анонс нового фильма),Zapowiedź (Zapowiedź nowego filmu)
Недоработать (Этот проект недоработан),Niedopracować (Ten projekt jest niedopracowany)
Проходить (Я прохожу мимо магазина каждый день),Przechodzić (Przechodzę obok sklepu codziennie)
Версия (Новая версия программы лучше),Wersja (Nowa wersja programu jest lepsza)
Узнавать (Я узнаю новые вещи),Dowiadować (Dowiaduję się nowych rzeczy)
Заказывать (Я заказываю еду по телефону),Zamawiać (Zamawiam jedzenie przez telefon)
Быть в стрессе (Я в стрессе из-за экзамена),Zestresować (Jestem zestresowany egzaminem)
Усыновление (Усыновление собаки — серьёзное решение),Adopcja (Adopcja psa to poważna decyzja)
Приобрести (Я приобрёл нового клиента),Pozyskać (Pozyskałem nowego klienta)
Необходимый (Это необходимый инструмент),Niezbędny (To niezbędne narzędzie)
Совместный (У нас общая цель),Wspólny (Mamy wspólny cel)
Заболеть (Я заболел гриппом),Zachorować (Zachorowałem na grypę)
Отмечать (Я праздную день рождения в июле),Obchodzić (Obchodzę urodziny w lipcu)
Лететь; лето (Я лечу самолётом в Польшу),Lecie (Lecę samolotem do Polski)
Стиральная машина (Стиральная машина сломалась),Pralka (Pralka się zepsuła)
Поддаться; попасть (Я попал в аварию),Ulec (Uległem wypadkowi)
Сервисный (Машина в сервисе),Serwisow (Samochód jest w serwisie)
Быстрый (Это быстрый поезд),Szybki (To szybki pociąg)
Решение (Я нашёл решение),Rozwiązanie (Znalazłem rozwiązanie)
Коронавирус (Коронавирус изменил всё),Koronawirusa (Koronawirus zmienił wszystko)
Координатор (Я работаю координатором),Koordynator (Pracuję jako koordynator)
Процедура (Это стандартная процедура),Procedura (To standardowa procedura)
Приступить (Я приступил к экзамену),Przystąpić (Przystąpiłem do egzaminu)
Пандемия (Пандемия длилась два года),Pandemia (Pandemia trwała dwa lata)
Следующий (Следующая остановка),Kolejny (Kolejny przystanek)
Сюжет (Сюжет этого фильма интересный),Fabuć (Fabuła tego filmu jest ciekawa)
Мусор (Выброси мусор в бак),Śmiecie (Wyrzuć śmieci do kosza)
Испортить (Я испортил себе настроение),Popsuł (Popsułem sobie humor)
Взамен (Взамен на помощь),Zamian (W zamian za pomoc)
Посмотреть (Я посмотрел интересный фильм),Obejrzeć (Obejrzałem ciekawy film)
Охрана (Охрана окружающей среды важна),Ochrona (Ochrona środowiska jest ważna)
Уйти (Я ушёл с работы),Odejść (Odszedłem z pracy)
Одежда (Магазин одежды имеет распродажу),Odzieżowy (Sklep odzieżowy ma wyprzedaż)
Отменить (Я отменил бронь),Anulować (Anulowałem rezerwację)
Убеждать (Я убеждаю тебя поехать),Przekonować (Przekonuję cię do wyjazdu)
Контроль (У меня контроль на работе),Kontrola (Mam kontrolę w pracy)
Контролёр (Контролёр проверял билеты),Kontroler (Kontroler biletów sprawdzał bilety)
Поднимать (Я поднимаю тяжести в спортзале),Podnosić (Podnoszę ciężary na siłowni)
Администратор (ж) (Администратор встретила нас в отеле),Recepcjonistka (Recepcjonistka przyjęła nas w hotelu)
Поливать (Я поливаю цветы каждый день),Podlewać (Podlewam kwiaty codziennie)
Встречать (Я встречаюсь с друзьями),Spotykać (Spotykam się z przyjaciółmi)
Невиданный (Невиданный годами),Niewidzian (Niewidziany od lat)
Договариваться (Вы договариваетесь о встрече),Umawiacie (Umawiacie się na spotkanie)
Ухудшать (Моё настроение ухудшается),Pogarszać (Pogarsza mi się humor)
Состояние (Состояние моего здоровья хорошее),Stan (Stan mojego zdrowia jest dobry)
Здоровье (У меня проблема со здоровьем),Zdrowotny (Mam problem zdrowotny)
Звёздный; рождественский (У меня рождественский подарок),Gwiazdkowa (Mam gwiazdkowy prezent)
Намерение (Я намерен уехать),Zamiar (Mam zamiar wyjechać)
Правление (Правление фирмы приняло решение),Zarząd (Zarząd firmy podjął decyzję)
Жилищный (Рынок жилья в Гданьске дорогой),Mieszkaniowy (Rynek mieszkaniowy w Gdańsku jest drogi)
Просьба (У меня к тебе просьба),Prośba (Mam prośbę do ciebie)
Аптека (Купи лекарство в аптеке),Aptece (Kup lek w aptece)
Грипп (У меня грипп),Grypa (Mam grypę)
Соседний (В соседней комнате тишина),Sąsiedny (W sąsiednim pokoju jest cisza)
Собственный (У меня собственная квартира),Własny (Mam własne mieszkanie)
Согласиться (Я согласился с его мнением),Zgodzić (Zgodziłem się z jego opinią)
Распасться (Брак распался),Rozpaść (Małżeństwo się rozpadło)
Трудный (Это трудное задание),Trudć (To jest trudne zadanie)
Переживать (Я переживаю трудный период),Przeżywać (Przeżywam trudny okres)
Соседка (Моя соседка приятная),Sąsiadka (Moja sąsiadka jest miła)
Тусовщица (Она — тусовщица),Imprezowiczka (Ona jest imprezowiczką)
Поздний (Уже поздно),Późny (Jest już późno)
Чужой (Не разговаривай с чужими),Obcy (Nie rozmawiaj z obcymi)
Количество (Большое количество людей),Ilość (Duża ilość osób)
Пострадать (Я пострадал в аварии),Poszkodować (Poszkodowałem w wypadku)
Перекрёсток (На перекрёстке поверни налево),Skrzyżowanie (Na skrzyżowaniu skręć w lewo)
"Считать (Я считаю, что ты прав)","Sądzić (Sądzę, że masz rację)"
Левый (Поверни налево),Lewa (Skręć w lewo)
Добраться (Я добрался до дома),Dotrzeć (Dotarłem do domu)
"Жаль; ущерб (Жаль, что ты не можешь прийти)","Szkoda (Szkoda, że nie możesz przyjść)"
Оба (Обоих родителей не было дома),Obojga (Obojga rodziców nie było w domu)
Фотография (Я сделал красивое фото),Zdjęcie (Zrobiłem piękne zdjęcie)
Пара (У меня пара вопросов),Parę (Mam parę pytań)
Поздравление (Прими поздравления),Gratulacja (Przyjmij gratulacje)
Относительно (Относительно твоего вопроса...),Odnośnie (Odnośnie twojego pytania...)
Закуска (Закажи закуски к пиву),Przekąski (Zamów przekąski do piwa)
Поздравить (Хочу тебя поздравить),Pogratulować (Chcę ci pogratulować)
Закуска (Закажи закуски),Przekąsko (Zamów przekąski)
Пить (Хочу пить),Pić (Chcę pić)
Рассказать (Расскажи мне об этом),Opowiedzieć (Opowiedz mi o tym)
Чувствовать (Я чувствую себя хорошо),Czuć (Czuję się dobrze)
Температура (У меня температура),Gorączka (Mam gorączkę)
В общем (В общем),Ogólnie (Ogólnie rzecz biorąc)
Совет (Мне нужен твой совет),Porada (Potrzebuję twojej porady)
Сотрудничать (Я сотрудничаю с коллегами),Współpracować (Współpracuję z kolegami)
Интересно (Это интересно),Interesująco (To interesujące)
Вода (Я пью много воды),Woda (Piję dużo wody)
Зайти (Зайди ко мне после работы),Zajść (Zajdź do mnie po pracy)
Похвалить (Я похвалил его за работу),Pochwalić (Pochwaliłem go za pracę)
Курица (Курица-гриль вкусная),Kurczak (Kurczak z rożna jest smaczny)
Вкусный (Этот пирог вкусный),Smaczny (To ciasto jest smaczne)
Стараться (Старайся больше),Starać (Staraj się bardziej)
Вкусный (Этот суп вкусный),Pyszny (Ta zupa jest pyszna)
Обслуживание (Обслуживание в ресторане было хорошим),Obsługa (Obsługa w restauracji była dobra)
"Любовь; дорогой (Моя любовь, иди сюда)","Kochanie (Moje kochanie, chodź tutaj)"
Сердечный (Сердечные приветствия),Serdeczniejy (Serdeczne pozdrowienia)
Ведь (Ведь я тебе говорил),Przecież (Przecież ci mówiłem)
Почти (Я почти закончил),Prawie (Prawie skończyłem)
Удобный (Это удобный момент),Dogodny (To dogodny moment)
Какой (Какой это цвет?),Jaki (Jaki to kolor?)
Маршрут (Маршрут экскурсии был интересным),Trasa (Trasa wycieczki była ciekawa)
Вид (Вид из окна красивый),Widok (Widok z okna jest piękny)
Избежать (Я избежал пробок),Uniknąć (Uniknąłem korków)
Меньший (У меня меньший размер обуви),Mniejszych (Mam mniejszych rozmiar buta)
Населённый пункт (Гданьск — красивый населённый пункт),Miejscowość (Gdańsk to piękna miejscowość)
Велосипедный (У меня велосипедный маршрут),Rowerowy (Mam rowerowy szlak)
Окрестность (В окрестностях есть парк),Okolica (W okolicy jest park)
Держать (Держи крепко),Trzymać (Trzymaj mocno)
Немало (У меня немало работы),Sporo (Mam sporo pracy)
"Чтобы (Я хотел бы, чтобы ты пришёл)","By (Chciałbym, byś przyszedł)"
"Признать (Признаю, ты прав)","Przyznać (Przyznaję, masz rację)"
Нравиться (Мне нравится этот фильм),Podobeć (Podoba mi się ten film)
Захватывать (Этот фильм захватывает зрителей),Emocjonować (Ten film emocjonuje widzów)
Соглашаться (Я согласен с тобой),Zgadzać się (Zgadzam się z tobą)
Средний (У меня средний уровень),Średni (Mam średni poziom)
Вкус (У тебя хороший вкус),Gust (Masz dobry gust)
Вопрос (Это вопрос времени),Kwestia (To kwestia czasu)
Предпочтение (У меня свои предпочтения),Preferencja (Mam swoje preferencje)
Рецензия (Напиши рецензию на этот фильм),Recenzja (Napisz recenzję tego filmu)
Мяч (Я играю в футбол),Piłka (Gram w piłkę nożną)
Активный (Я активен в спорте),Aktywny (Jestem aktywny sportowo)
Представление (Представление в театре было отличным),Przedstawienie (Przedstawienie w teatrze było świetne)
Теория (Теория важна),Teoria (Teoria jest ważna)
Использовать (Используй это слово в предложении),Użyć (Użyj tego słowa w zdaniu)
Заразить (Я заразился гриппом),Zarazić (Zaraziłem się grypą)
Перенести (Перенеси встречу на завтра),Przenieść (Przenieś spotkanie na jutro)
Понятие (Я имею понятие об этом),Pojęcie (Mam pojęcie o tym)
Исчезновение (Исчезновение документов),Zaginięcie (Zaginięcie dokumentów)
Связаться (Я свяжусь с тобой),Skontaktywać (Skontaktuję się z tobą)
"Хотя (Хотя идёт дождь, я иду гулять)","Chociaż (Chociaż pada deszcz, idę na spacer)"
Отменять (Отменяют рейс из-за грозы),Odwoływać (Odwołują lot z powodu burzy)
Обзор; осмотр (У меня техосмотр машины),Przegląd (Mam przegląd samochodu)
Соблюдать (Соблюдай правила),Przestrzegać (Przestrzegaj zasad)
Пунктуальный (Будь пунктуальным),Punktualny (Bądź punktualny)
Стиль (У меня свой собственный стиль),Styl (Mam swój własny styl)
Показать (Покажи мне дорогу),Pokazać (Pokaż mi drogę)
Отдел (Я работаю в IT-отделе),Dział (Pracuję w dziale IT)
Выйти (Выйди из дома в восемь),Wyjść (Wyjdź z domu o ósmej)
Хотела бы (Ты хотела бы пойти на кофе?),Chciałabyś (Chciałabyś pójść na kawę?)
Эмоция (У меня сильные эмоции),Emocja (Mam silne emocje)
Представить (Представь мне своего друга),Przedstawić (Przedstaw mi swojego przyjaciela)
Последний (Это последний раз),Ostatni (To ostatni raz)
Рост (У меня высокий рост),Wzrost (Mam wysoki wzrost)
Писатель (Этот писатель известен),Pisarz (Ten pisarz jest znany)
Молодой (Я молодой),Młody (Jestem młody)
Возраст (Мне двадцать пять лет),Wiek (Mam dwadzieścia pięć lat)
Предлагать (Что вы предлагаете?),Oferujecie (Co oferujecie?)
Парикмахер (Я иду к парикмахеру),Fryzjer (Idę do fryzjera)
Поверить (Не могу поверить),Uwierzyć (Nie mogę uwierzyć)
Серьёзно (Ты серьёзно?),Poważnie (Mówisz poważnie?)
Закончить (Я закончил учёбу),Ukończyć (Ukończyłem studia)
Напиток (Какой напиток ты выбираешь?),Napój (Jaki napój wybierasz?)
Караоке (Мы поём караоке в пятницу),Karaoke (Śpiewamy karaoke w piątek)
Составить; вынести (Они вынесли мебель из комнаты),Wynieść (Wynieśli meble z pokoju)
Адаптировать (Адаптируйся к ситуации),Dostosować (Dostosuj się do sytuacji)
Сауна (Сауна в отеле классная),Sauna (Sauna w hotelu jest fajna)
Подтверждать (Подтверждаю получение),Potwierdzać (Potwierdzam odbiór)
Оплата (Оплата на счёт),Wpłata (Wpłata na konto)
Вести; проводиться (Я веду машину),Prowadzić (Prowadzę samochód)
Число (Большое число людей),Liczba (Duża liczba osób)
Половина (Половина задания сделана),Połowa (Połowa zadania zrobiona)
Ограничить (Ограничь расходы),Ograniczyć (Ogranicz wydatki)
Бланк (Заполни бланк),Formularz (Wypełnij formularz)
Заявочный (Заявочная карта),Zgłoszeniowy (Karta zgłoszeniowa)
Способствовать (Я поспособствовал проекту),Przyczynić (Przyczyniłem się do projektu)
Зарегистрировать (Зарегистрируйся на курс),Zarejestrować (Zarejestruj się na kurs)
Вовлечь (Я вовлёкся в проект),Zaangażować (Zaangażowałem się w projekt)
Принять (Я принял решение),Podjąć (Podjąłem decyzję)
Развитие (Развитие фирмы быстрое),Rozwój (Rozwój firmy jest szybki)
Готовый (Я готов),Gotowy (Jestem gotowy)
Трамвай (Трамвай едет в центр),Tramwaj (Tramwaj jedzie do centrum)
Направление (Какое направление учёбы?),Kierunek (Jaki kierunek studiów?)
Далеко (Далеко отсюда?),Daleko (Daleko stąd?)
Сложить; подать (Подай заявление),Złożyć (Złóż podanie)
Игрушка (Купи игрушку для ребёнка),Zabawka (Kup zabawkę dla dziecka)
Объяснить (Объясни мне это),Wyjaśnić (Wyjaśnij mi to)
Сдавать (Я сдаю экзамен в июне),Zdawać (Zdaję egzamin w czerwcu)
Транспорт (Общественный транспорт в Гданьске хороший),Transport (Transport publiczny w Gdańsku jest dobry)
Улучшить (Исправь свою ошибку),Poprawić (Popraw swój błąd)
Улучшение (Улучшение погоды),Poprawa (Poprawa pogody)
Клиент (Клиент всегда прав),Klient (Klient zawsze ma rację)
Креветка (Креветки вкусные),Krewetka (Krewetki są smaczne)
Одновременно (Ты говоришь и ешь одновременно),Jednocześnie (Mówisz i jesz jednocześnie)
Овощ (Ешь много овощей),Warzywo (Jedz dużo warzyw)
Тофу (Я люблю тофу),Tofu (Lubię tofu)
Кредитный (У меня кредитная карта),Kredytowy (Mam kartę kredytową)
Публика (Публика аплодировала),Publiczność (Publiczność oklaskiwała)
Взаимно (Мы помогаем друг другу взаимно),Wzajemnie (Pomagamy sobie wzajemnie)
Уважать (Уважай других),Szanować (Szanuj innych)
Покой (Мне нужен покой),Spokój (Potrzebuję spokoju)
Развлечение (Мне нужно развлечение),Rozrywka (Potrzebuję rozrywki)
Открытый (Магазин открыт),Otwarty (Sklep jest otwarty)
Предпочла бы (Я бы предпочла остаться дома),Wolałabym (Wolałabym zostać w domu)
Пляж (Пляж в Гданьске красивый),Plaża (Plaża w Gdańsku jest piękna)
Тихо (Говори тихо),Cicho (Mów cicho)
Поехать (Мы поедем на море),Pojeść (Pojedziemy nad morze)
Проверить (Проверь почту),Sprawdzić (Sprawdź pocztę)
Доступность (Проверь доступность билетов),Dostępność (Sprawdź dostępność biletów)
Зуб (У меня болит зуб),Ząb (Boli mnie ząb)
Вечерний (Элегантный вечерний наряд),Wieczorowych (Elegancki strój wieczorowy)
Более ранний (Более ранний визит),Wcześniejszej (Wcześniejsza wizyta)
Реализовать (Я реализовал план),Zrealizować (Zrealizowałem plan)
Сообщить; заявить (Сообщи о проблеме),Zgłosić (Zgłoś problem)
Заявление (Я подал заявление),Zgłoszenie (Złożyłem zgłoszenie)
Колесо; около (Я стою около окна),Koło (Stoję koło okna)
Серийный (Серийный номер),Seryjny (Numer seryjny)
Посвятить (Я посвятил время учёбе),Poświęcić (Poświęciłem czas na naukę)
Гордый (Я горжусь тобой),Dumny (Jestem dumny z ciebie)
Заняться (Мы займёмся этим),Zajmiemy (Zajmiemy się tym)
Мода (Мода меняется),Moda (Moda się zmienia)
Объявить (Он объявил о своей помолвке),Ogłosić (Ogłosił swoje zaręczyny)
Полночь (Поезд в полночь),Północ (Pociąg o północy)
Казаться; выдавать (Я трачу деньги),Wydawać (Wydaję pieniądze)
Отдохнуть (Хочу отдохнуть),Odpocząć (Chcę odpocząć)
Длиться (Урок длится 45 минут),Trwać (Lekcja trwa 45 minut)
Заканчивать (Я заканчиваю работу в пять),Kończyć (Kończę pracę o piątej)
Включить (Завтрак включён в цену),Wliczć (Śniadanie wliczone w cenę)
Теоретический (Это теоретические знания),Teoretyczny (To teoretyczna wiedza)
Желать (Желаю тебе счастья),Życzeć (Życzę ci szczęścia)
Эксплуатация (Эксплуатация машины),Eksploatacja (Eksploatacja samochodu)
Финансировать (Я финансирую свой курс),Finansować (Finansuję swój kurs)
Взрослый (Я взрослый),Dorosły (Jestem dorosły)
Удостоверение (Покажи удостоверение),Legitymacja (Pokaż legitymację)
Библиотечный (У меня библиотечная карта),Biblioteczny (Mam kartę biblioteczną)
Взять напрокат; выдавать (Я беру книгу в библиотеке),Wypożyczeć (Wypożyczam książkę)
Стандартный (Это стандартная процедура),Standardowy (To standardowa procedura)
Уполномочивать (Я уполномочиваю тебя на получение),Upoważniać (Upoważniam cię do odbioru)
Групповой (У нас групповой билет),Grupowy (Mamy bilet grupowy)
Дополнительно (Дополнительно ты получаешь кофе),Dodatkowo (Dodatkowo dostajesz kawę)
Переслать (Я перешлю тебе документы по имейлу),Prześlę (Prześlę ci dokumenty mailem)
Новинка (Это новинка на рынке),Nowość (To nowość na rynku)
Советовать (Я советую тебе учить польский),Radzić (Radzę ci uczyć się polskiego)
Пакет (У меня пакет услуг),Pakiecie (Mam pakiet usług)
Бигос (Бигос — традиционное польское блюдо),Bigos (Bigos to tradycyjne polskie danie)
Фирменное блюдо (Это фирменное блюдо этого ресторана),Specjać (To specjał tej restauracji)
Ваш (Ваш дом красивый),Wasz (Wasz dom jest piękny)
Дичь (Дичь дорогая),Dziczyzny (Dziczyzna jest droga)
Происходить (Я родом из Гданьска),Pochodzić (Pochodzę z Gdańska)
Сегодняшний (Сегодняшний день прекрасный),Dzisiejszy (Dzisiejszy dzień jest piękny)
Шоколадный (Я люблю шоколадный пирог),Czekoladowy (Lubię czekoladowe ciasto)
Украшение (Украшение зала было красивым),Dekoracja (Dekoracja sali była piękna)
Фрукт (Ешь фрукты каждый день),Owoc (Jedz owoce codziennie)
Надпись (Прочитай надпись на двери),Napis (Przeczytaj napis na drzwiach)
Пылающий (Пылающее тепло из печи),Buchający (Buchające ciepło z pieca)
Огонь (Огонь в камине),Ogni (Ogień w kominku)
Осмотр (Осмотр Старого города),Zwiedzanie (Zwiedzanie Starego Miasta)
Динозавр (Динозавр в музее),Dinozaur (Dinozaur w muzeum)
Выше (Посмотри текст выше),Powyżej (Zobacz powyższy tekst)
Живо (Он живо реагирует на вопросы),Żywo (Żywo reaguje na pytania)
Фотобудка (Фотобудка на вечеринке),Fotobudka (Fotobudka na imprezie)
Специальность (Какая твоя специальность?),Specjalność (Jaka jest twoja specjalność?)
Рекрутер (Рекрутер задавал вопросы),Rekruter (Rekruter zadawał pytania)
Животное (Я люблю животных),Zwierzę (Kocham zwierzęta)
"Обеспечить (Уверяю тебя, это правда)","Zapewnić (Zapewniam cię, że to prawda)"
Условие (Это условие договора),Warunek (To warunek umowy)
Главный (Главный вокзал в Гданьске),Główny (Główny dworzec w Gdańsku)
Сердечный (Сердечно благодарю),Serdeczny (Serdecznie dziękuję)
Руководство (Руководство фирмы),Kierownictwo (Kierownictwo firmy)
Добавить (Добавь сахар в кофе),Dodać (Dodaj cukier do kawy)
Стиральная машина (Автоматическая стиральная машина),Pralki (Pralka automatyczna)
Подтверждение (Подтверждение брони),Potwierdzenie (Potwierdzenie rezerwacji)
Безопасность (Безопасность прежде всего),Bezpieczeństwo (Bezpieczeństwo przede wszystkim)
Сохранить; вести (Сохраняй спокойствие),Zachować (Zachowaj spokój)
Вход (Вход справа),Wejście (Wejście jest po prawej)
Отправить (Отправь мне документы),Przesłać (Prześlij mi dokumenty)
Оснастить (Я оснастил кухню),Wyposażyć (Wyposażyłem kuchnię)
Ежемесячно (Я плачу 2000 злотых ежемесячно),Miesięcznie (Płacę 2000 zł miesięcznie)
Медиа; коммунальные услуги (Коммунальные услуги за квартиру),Media (Media za mieszkanie)
Посмотреть (Я посмотрел этот фильм),Obejrzeć (Obejrzałem ten film)
Герой (Он герой),Bohater (On jest bohaterem)
Проблема (У меня проблемы),Kłopot (Mam kłopoty)
Расположение (Расположение отеля отличное),Położenie (Położenie hotelu jest świetne)
Рядом (Я живу рядом с магазином),Obok (Mieszkam obok sklepu)
Здание (Это высокое здание),Budynek (To wysoki budynek)
Провести; переехать (Я переехал в Гданьск),Przeprowadzić (Przeprowadziłem się do Gdańska)
Опасение (У меня есть опасения),Obawa (Mam obawy)
Выполнять (Я выполняю обязанности),Pełnić (Pełnię obowiązki)
Проводить (Я провожу время с семьёй),Spędzać (Spędzam czas z rodziną)
Сдвиг (Перенос срока),Przesunięcie (Przesunięcie terminu)
Бесплатный (Это бесплатный курс),Bezpłatny (To bezpłatny kurs)
Сутки (Сутки имеют 24 часа),Dobać (Doba ma 24 godziny)
Программа (У меня программа для учёбы),Program (Mam program do nauki)
Подавать; сообщать (Я подаю обед),Podawać (Podaję obiad)
Адекватный (Это адекватный ответ),Adekwatny (To adekwatna odpowiedź)
Усыновить (Я усыновил собаку),Adoptować (Adoptowałem psa)
Принимать (Я принимаю твои условия),Akceptować (Akceptuję twoje warunki)
Актуальный (Это актуальный адрес),Aktualny (To aktualny adres)
Амбициозный (Я амбициозен),Ambitny (Jestem ambitny)
Аппетит (У меня аппетит на пиццу),Apetyt (Mam apetyt na pizzę)
Аптека (Аптека работает круглосуточно),Apteka (Apteka jest czynna całą dobę)
Аргумент (У меня хороший аргумент),Argument (Mam dobry argument)
Арестовать (Они арестовали вора),Aresztować (Aresztowali złodzieja)
Атавистический (Это атавистическое поведение),Atawistyczny (To atawistyczne zachowanie)
Атмосфера (Атмосфера в городе классная),Atmosfera (Atmosfera w mieście jest fajna)
Привлекательный (Это привлекательное предложение),Atrakcyjny (To atrakcyjna oferta)
Исследование (Я делаю анализ крови),Badanie (Robię badania krwi)
Воздушный шар (Воздушный шар летит вверх),Balon (Balon leci w górę)
Банкет (Свадебный банкет был удачным),Bankiet (Bankiet weselny był udany)
Батарея (Батарея в телефоне садится),Bateria (Bateria w telefonie siada)
Безработный (Я безработный),Bezrobotny (Jestem bezrobotny)
Бег; течение (Бег на десять километров),Bieg (Bieg na dziesięć kilometrów)
Биология (Биология — интересный предмет),Biologia (Biologia to ciekawy przedmiot)
Бизнес (Я веду свой бизнес),Biznes (Prowadzę własny biznes)
Блог (Я пишу блог о путешествиях),Blog (Piszę blog podróżniczy)
Блузка (Я купила красивую блузку),Bluzka (Kupiłam ładną bluzkę)
Поле (спорт.) (Футбольное поле),Boisko (Boisko piłkarskie)
Болеть (У меня болит голова),Boli (Boli mnie głowa)
Строительство; структура (Строительство дома длится год),Budowa (Budowa domu trwa rok)
Бюджет (У меня ограниченный бюджет),Budżet (Mam ograniczony budżet)
Бутылка (Купи бутылку воды),Butelka (Kup butelkę wody)
Обувь (Я купил новую обувь),Buty (Kupiłem nowe buty)
Дюйм (Двадцать дюймов монитора),Cal (Dwadzieścia cali monitora)
Полный; целый (Полная стоимость),Całkowity (Całkowity koszt)
Химия (Химия в школе),Chemia (Chemia w szkole)
Хирург (Хирург провёл операцию),Chirurg (Chirurg przeprowadził operację)
Хлеб (Купи хлеб в пекарне),Chleb (Kup chleb w piekarni)
Прохладный (Вечер прохладный),Chłodny (Wieczór jest chłodny)
Больной (Я болен),Chory (Jestem chory)
Крестины (Крестины были в семье),Chrzciny (Chrzciny były w rodzinie)
Худой (Я худой),Chudy (Jestem chudy)
Тесто; пирог (Я испекла пирог),Ciasto (Upiekłam ciasto)
Интересно (Ты рассказываешь интересно),Ciekawie (Opowiadasz ciekawie)
Страдать (Я страдаю от головной боли),Cierpieć (Cierpię na ból głowy)
Груз; тяжесть (Это большой груз),Ciężar (To duży ciężar)
Тяжёлый (Это тяжёлая работа),Ciężki (To ciężka praca)
Тихий (Будь тихо),Cichy (Bądź cicho)
Кладбище (Кладбище в центре),Cmentarz (Cmentarz jest w centrum)
Коучинг (У меня сессия коучинга),Coaching (Mam sesję coachingową)
Сахар (Добавь сахар в чай),Cukier (Dodaj cukier do herbaty)
Конфета (Купи конфеты),Cukierek (Kup cukierki)
Цифра (У меня код из четырёх цифр),Cyfra (Mam kod składający się z czterech cyfr)
Цитата (Это цитата из книги),Cytat (To cytat z książki)
Чайник (Включи чайник),Czajnik (Włącz czajnik)
Шапка (У меня тёплая шапка),Czapka (Mam ciepłą czapkę)
Журнал (Я читаю журнал),Czasopismo (Czytam czasopismo)
Шоколад (Я люблю шоколад),Czekolada (Lubię czekoladę)
Красный (У меня красная машина),Czerwony (Mam czerwony samochód)
Соединять (Я соединяю слова в предложения),Czyć (Łączę słowa w zdania)
Фактор (Фактор риска),Czynnik (Czynnik ryzyka)
Читать (Я читаю книгу),Czytać (Czytam książkę)
Неужели (Неужели это правда?),Czyżby (Czyżby to prawda?)
Крыша (Крыша дома красная),Dach (Dach domu jest czerwony)
Данный (В данный момент),Dany (W danej chwili)
Дар (Это дар судьбы),Dar (To dar od losu)
Решать (Я решаю свою жизнь),Decydować (Decyduję o swoim życiu)
Определение (Я знаю определение этого слова),Definicja (Znam definicję tego słowa)
